timestamp,value
2025-10-28T03:19:20Z,97.2
2025-10-28T03:20:20Z,97.1
2025-10-28T03:21:20Z,97.1
2025-10-28T03:22:20Z,97.0
2025-10-28T03:23:20Z,97.1
2025-10-28T03:24:20Z,97.1
2025-10-28T03:25:20Z,97.1
2025-10-28T03:26:20Z,97.1
2025-10-28T03:27:20Z,97.0
2025-10-28T03:28:20Z,97.1
2025-10-28T03:29:20Z,97.1
2025-10-28T03:30:20Z,97.1
2025-10-28T03:31:20Z,97.1
2025-10-28T03:32:20Z,97.2
2025-10-28T03:33:20Z,97.2
2025-10-28T03:34:20Z,97.1
2025-10-28T03:35:20Z,97.2
2025-10-28T03:36:20Z,97.2
2025-10-28T03:37:20Z,97.1
2025-10-28T03:38:20Z,97.1
2025-10-28T03:39:20Z,97.1
2025-10-28T03:40:20Z,97.0
2025-10-28T03:41:20Z,97.1
2025-10-28T03:42:20Z,97.0
2025-10-28T03:43:20Z,97.0
2025-10-28T03:44:20Z,97.0
2025-10-28T03:45:20Z,97.0
2025-10-28T03:46:20Z,97.0
2025-10-28T03:47:20Z,97.0
2025-10-28T03:48:20Z,97.0
2025-10-28T03:49:20Z,96.9
2025-10-28T03:50:20Z,96.9
2025-10-28T03:51:20Z,97.0
2025-10-28T03:52:20Z,97.0
2025-10-28T03:53:20Z,97.0
2025-10-28T03:54:20Z,96.9
2025-10-28T03:55:20Z,96.9
2025-10-28T03:56:20Z,97.0
2025-10-28T03:57:20Z,97.0
2025-10-28T03:58:20Z,50.0
2025-10-28T03:59:20Z,97.0
2025-10-28T04:00:20Z,97.1
2025-10-28T04:01:20Z,97.0
2025-10-28T04:02:20Z,97.0
2025-10-28T04:03:20Z,96.9
2025-10-28T04:04:20Z,96.9
2025-10-28T04:05:20Z,97.0
2025-10-28T04:06:20Z,97.0
2025-10-28T04:07:20Z,97.0
2025-10-28T04:08:20Z,97.1
2025-10-28T04:09:20Z,97.1
2025-10-28T04:10:20Z,97.0
2025-10-28T04:11:20Z,97.0
2025-10-28T04:12:20Z,97.0
2025-10-28T04:13:20Z,97.0
2025-10-28T04:14:20Z,97.0
2025-10-28T04:15:20Z,97.1
2025-10-28T04:16:20Z,97.1
2025-10-28T04:17:20Z,97.1
2025-10-28T04:18:20Z,97.1
2025-10-28T04:19:20Z,97.2
2025-10-28T04:20:20Z,97.2
2025-10-28T04:21:20Z,97.2
2025-10-28T04:22:20Z,97.2
2025-10-28T04:23:20Z,97.2
2025-10-28T04:24:20Z,97.2
2025-10-28T04:25:20Z,97.2
2025-10-28T04:26:20Z,97.2
2025-10-28T04:27:20Z,97.1
2025-10-28T04:28:20Z,97.1
2025-10-28T04:29:20Z,97.1
2025-10-28T04:30:20Z,97.1
2025-10-28T04:31:20Z,97.1
2025-10-28T04:32:20Z,97.1
2025-10-28T04:33:20Z,97.1
2025-10-28T04:34:20Z,97.1
